|aw_deep_link|description|product_name|merchant_image_url|search_price|merchant_name|brand_name|colour|rrp_price|category_name|Fashion:size|aw_product_id|currency
20|https://www.awin1.com/pclick.php?p=3481642835&a=305691&m=2374|For those taking their first steps, the tiny reproduction of the 1460 8-eye boot offers a sturdy, yet flexible sole combined with soft and durable cherry red leather. The 1460 boot style has a side zip, as well as laces, to help parents get them on and off little feet quickly and easily.|Dr. Martens Lace boots Inside Zip Brooklee (k) CHERRY RED LEATHER|https://i1.adis.ws/i/office/1403961490_ld1.jpg?$picture$|54.99|Office Shoes|Dr. Martens|Red|54.99|Childrens Clothing|UK 5 infant,UK 6 infant,UK 7 infant,UK 8 infant,UK 9 infant|3481642835|GBP
21|https://www.awin1.com/pclick.php?p=3481642837&a=305691&m=2374|Dr Marten Kids  For those taking their first steps, the tiny reproduction of the 1460 boot offers a sturdy, yet flexible sole combined with soft and durable hot pink patent leather. The 1460 boot style has a side zip, as well as laces, to help parents get them on and off little feet quickly and easily.  Please note sizes 4-6  will have four eyelets and sizes 7+ above will have eight eyelets.|Dr. Martens Lace boots Inside Zip Brooklee (k) HOT PINK PATENT|https://i1.adis.ws/i/office/1403975771_ld1.jpg?$picture$|49.99|Office Shoes|Dr. Martens|Pink|49.99|Childrens Clothing|UK 4 infant,UK 5 infant,UK 6 infant,UK 7 infant,UK 8 infant,UK 9 infant|3481642837|GBP
22|https://www.awin1.com/pclick.php?p=3481642839&a=305691&m=2374|The faithful reproductions of the 1460 8-eye boot offer a sturdy, yet flexible sole combined with soft and durable leather. Each style has a side zip, as well as laces. All the key identifying Dr. Martens features are still here, with the yellow stitch and fabric heel loop. This style also features an inside zip fastening, heel loop and Dr. Martens air-cushioned sole.|Dr. Martens Lace boots Inside Zip Delaney Jnr BLACK|https://i1.adis.ws/i/office/1404100000_ld1.jpg?$picture$|64.99|Office Shoes|Dr. Martens|Black|64.99|Childrens Clothing|UK 1 youth,UK 10 youth,UK 11 youth,UK 12 youth,UK 13 youth,UK 7 infant|3481642839|GBP
23|https://www.awin1.com/pclick.php?p=3481642841&a=305691&m=2374|Lace Boot Inside Zip Delaney by Dr.Martens    For those taking their first steps, the tiny reproduction of the 1460 8-eye boot offers a sturdy, yet flexible sole combined with soft and durable black patent leather. The 1460 boot style has a side zip, as well as laces, to help parents get them on and off little feet quickly and easily.|Dr. Martens Lace Boot Inside Zip Delaney (jnr) BLACK PATENT|https://i1.adis.ws/i/office/1404100371_ld1.jpg?$picture$|59.99|Office Shoes|Dr. Martens|Black|59.99|Childrens Clothing|UK 1 youth,UK 10 youth,UK 11 youth,UK 12 youth|3481642841|GBP
24|https://www.awin1.com/pclick.php?p=3481642843&a=305691&m=2374|The faithful reproductions of the 1460 8-eye boot offer a sturdy, yet flexible sole combined with soft and durable leather. Each style has a side zip, as well as laces. All the key identifying Dr. Martens features are still here, with the yellow stitch and fabric heel loop. This style also features an inside zip fastening, heel loop and Dr. Martens air-cushioned sole.|Dr. Martens Lace boots Inside Zip Delaney Jnr CHERRY RED LEATHER|https://i1.adis.ws/i/office/1404161490_ld1.jpg?$picture$|64.99|Office Shoes|Dr. Martens|Red|64.99|Childrens Clothing|UK 1 youth,UK 10 youth,UK 11 youth,UK 12 youth,UK 13 youth,UK 2|3481642843|GBP
25|https://www.awin1.com/pclick.php?p=3481642847&a=305691&m=2374|The faithful reproductions of the 1460 8-eye boot offer a sturdy, yet flexible sole combined with soft and durable leather. Each style has a side zip, as well as laces. All the key identifying Dr. Martens features are still here, with the yellow stitch and fabric heel loop. This style also features an inside zip fastening, heel loop and Dr. Martens air-cushioned sole.|Dr. Martens Lace boots Inside Zip Brooklee (jnr) HOT PINK PATENT|https://i1.adis.ws/i/office/1404175771_ld1.jpg?$picture$|59.99|Office Shoes|Dr. Martens|Pink|59.99|Childrens Clothing|UK 1 youth,UK 10 youth,UK 11 youth,UK 12 youth,UK 13 youth,UK 2,UK 8 infant|3481642847|GBP
26|https://www.awin1.com/pclick.php?p=3481642855&a=305691&m=2374|Loafers by GH Bass  Larkin is a classic tassel styled loafer with polished hi shine brush-off wine leather uppers. This style features genuine handsewn true moccasin construction and leather outsoles. Part of the classic Weejun collection.|G.H Bass & Co Larkin Tassel Loafers WINE LEATHER|https://i1.adis.ws/i/office/1407260514_ld1.jpg?$picture$|75.0|Office Shoes|G.H Bass|Red|125.0|Mens Footwear|UK 10,UK 11,UK 6|3481642855|GBP
27|https://www.awin1.com/pclick.php?p=3481642873&a=305691&m=2374|Ankle Boots By Vagabond  The Grace Heeled Chelsea is a sleek, feminine boot in burnished black nubuck with elastic inserts for easy pull on, heel tab and a chunky cleated sole.  - Nubuck leather upper - Textile and leather lining - Synthetic sole - 6cm heel     About Vagabond  Vagabond is a Swedish shoe fashion company, dedicated to style and inspired by its customers around the world. Every day new styles are sketched and every day new shoes are born in their unique design studio.|Vagabond Grace Heeled Chelsea Boots BLACK NUBUCK|https://i1.adis.ws/i/office/1416200482_md1.jpg?$picture$|60.0|Office Shoes|Vagabond|Black|79.99|Womens Footwear|UK 3,UK 4,UK 5,UK 6,UK 7,UK 8|3481642873|GBP
28|https://www.awin1.com/pclick.php?p=3481642951&a=305691&m=2374|The Reebok Classic Leather never goes out of style, featuring a soft garment all black leather upper that gives you superior comfort. A Diecut EVA midsole provides lightweight cushioning and a molded PU sockliner adds comfort and durability to this terrace style.|Reebok Classic Leather (w) BLACK LEATHER|https://i1.adis.ws/i/office/1467700078_ld1.jpg?$picture$|55.0|Office Shoes|Reebok|Black|69.99|Womens Footwear|UK 4,UK 5,UK 6,UK 7,UK 8|3481642951|GBP
29|https://www.awin1.com/pclick.php?p=3481642953&a=305691&m=2374|Classic Leather by Reebok  The Reebok Classic Leather never goes out of style, featuring a soft garment all white leather upper that gives you superior comfort. A Diecut EVA midsole provides lightweight cushioning and a molded PU sockliner adds comfort and durability to this terrace style.|Reebok Classic Leather (w) WHITE LEATHER|https://i1.adis.ws/i/office/1467710060_ld1.jpg?$picture$|55.0|Office Shoes|Reebok|White|69.99|Womens Footwear|UK 4,UK 5,UK 6,UK 7|3481642953|GBP
30|https://www.awin1.com/pclick.php?p=3481643191&a=305691&m=2374|Boots by Kickers  Classic Kick hi boot in premium black leather, triple-stitch detailing, embossed Kickers logo on heel with red and green plastic tabs and sturdy rubber Kick sole.  - Leather upper - Textile lining - Leather sock - Rubber sole     About Kickers  Started in 1970, when French fashion visionary Daniel Raufast created a new style of casual boot designed specifically for wearing with jeans, Kickers has captured the imagination of successive generations of music and fashion lovers.|Kickers Kick Hi (m) BLACK LEATHER|https://i1.adis.ws/i/office/1563700078_ld1.jpg?$picture$|79.99|Office Shoes|Kickers|Black|79.99|Mens Footwear|UK 10,UK 10.5,UK 7,UK 8,UK 9|3481643191|GBP
